Year,AccidentQuarter,Measure,ClaimType,Value
2023,202306,Ultimate Costs,Third Party Injury (<=250k),63310512.515568
2023,202309,Ultimate Costs,Third Party Injury (<=250k),59043914.164987
2023,202312,Ultimate Costs,Third Party Injury (<=250k),69791271.97422
2024,202403,Ultimate Costs,Third Party Injury (<=250k),76533768.952922
2024,202406,Ultimate Costs,Third Party Injury (<=250k),70749589.408084
2024,202409,Ultimate Costs,Third Party Injury (<=250k),73937494.01763
2024,202412,Ultimate Costs,Third Party Injury (<=250k),74117660.059232
2010,201003,Ultimate Costs,Third Party Injury (>250k),24833404.112962
2010,201006,Ultimate Costs,Third Party Injury (>250k),20807803.39633
2010,201009,Ultimate Costs,Third Party Injury (>250k),23526551.701342
2010,201012,Ultimate Costs,Third Party Injury (>250k),26268924.327712998
2011,201103,Ultimate Costs,Third Party Injury (>250k),22558016.828508
2011,201106,Ultimate Costs,Third Party Injury (>250k),41320840.521802
2011,201109,Ultimate Costs,Third Party Injury (>250k),34240743.225761004
2011,201112,Ultimate Costs,Third Party Injury (>250k),57751165.995509
2012,201203,Ultimate Costs,Third Party Injury (>250k),31789233.619048
2012,201206,Ultimate Costs,Third Party Injury (>250k),25229839.508284
2012,201209,Ultimate Costs,Third Party Injury (>250k),31143052.399685
2012,201212,Ultimate Costs,Third Party Injury (>250k),30548380.097996
2013,201303,Ultimate Costs,Third Party Injury (>250k),33399655.652597
2013,201306,Ultimate Costs,Third Party Injury (>250k),42136583.934781
2013,201309,Ultimate Costs,Third Party Injury (>250k),28383199.055547
2013,201312,Ultimate Costs,Third Party Injury (>250k),31609940.836016
2014,201403,Ultimate Costs,Third Party Injury (>250k),28033989.394877
2014,201406,Ultimate Costs,Third Party Injury (>250k),40865860.649675
2014,201409,Ultimate Costs,Third Party Injury (>250k),33721662.052198
2014,201412,Ultimate Costs,Third Party Injury (>250k),44717735.69035
2015,201503,Ultimate Costs,Third Party Injury (>250k),37082923.877552
2015,201506,Ultimate Costs,Third Party Injury (>250k),26946459.002297
2015,201509,Ultimate Costs,Third Party Injury (>250k),23725529.656153
2015,201512,Ultimate Costs,Third Party Injury (>250k),28945343.741996
2016,201603,Ultimate Costs,Third Party Injury (>250k),35551686.299919
2016,201606,Ultimate Costs,Third Party Injury (>250k),32373175.702679
2016,201609,Ultimate Costs,Third Party Injury (>250k),31331240.205694
2016,201612,Ultimate Costs,Third Party Injury (>250k),37311474.885350004
2017,201703,Ultimate Costs,Third Party Injury (>250k),22455383.865746
2017,201706,Ultimate Costs,Third Party Injury (>250k),40158633.582143
2017,201709,Ultimate Costs,Third Party Injury (>250k),38025944.837966
2017,201712,Ultimate Costs,Third Party Injury (>250k),40080912.18413
2018,201803,Ultimate Costs,Third Party Injury (>250k),26805565.353506
2018,201806,Ultimate Costs,Third Party Injury (>250k),42530823.564184
2018,201809,Ultimate Costs,Third Party Injury (>250k),36309343.037511
2018,201812,Ultimate Costs,Third Party Injury (>250k),38127125.432393
2019,201903,Ultimate Costs,Third Party Injury (>250k),31166678.802086998
2019,201906,Ultimate Costs,Third Party Injury (>250k),28896597.549201
2019,201909,Ultimate Costs,Third Party Injury (>250k),29073070.389657002
2019,201912,Ultimate Costs,Third Party Injury (>250k),32016263.902955
2020,202003,Ultimate Costs,Third Party Injury (>250k),23233006.013395
2020,202006,Ultimate Costs,Third Party Injury (>250k),40993009.957237005
2020,202009,Ultimate Costs,Third Party Injury (>250k),28428720.58425
2020,202012,Ultimate Costs,Third Party Injury (>250k),42162625.942303
2021,202103,Ultimate Costs,Third Party Injury (>250k),21359038.954022
2021,202106,Ultimate Costs,Third Party Injury (>250k),20004343.256711
2021,202109,Ultimate Costs,Third Party Injury (>250k),53092394.277405
2021,202112,Ultimate Costs,Third Party Injury (>250k),73698344.731634
2022,202203,Ultimate Costs,Third Party Injury (>250k),45655981.981633
2022,202206,Ultimate Costs,Third Party Injury (>250k),61815938.754551
2022,202209,Ultimate Costs,Third Party Injury (>250k),31232925.459911
2022,202212,Ultimate Costs,Third Party Injury (>250k),55867244.480668
2023,202303,Ultimate Costs,Third Party Injury (>250k),55004846.859322
2023,202306,Ultimate Costs,Third Party Injury (>250k),41761780.459375
2023,202309,Ultimate Costs,Third Party Injury (>250k),52716976.473423004
2023,202312,Ultimate Costs,Third Party Injury (>250k),35647571.733544
2024,202403,Ultimate Costs,Third Party Injury (>250k),51409662.678711
2024,202406,Ultimate Costs,Third Party Injury (>250k),40513165.310381
2024,202409,Ultimate Costs,Third Party Injury (>250k),36991309.873026
2024,202412,Ultimate Costs,Third Party Injury (>250k),39306051.975975
2010,201003,Ultimate Costs,Third Party Injury (Total),93585906.672343
2010,201006,Ultimate Costs,Third Party Injury (Total),90611968.643782
2010,201009,Ultimate Costs,Third Party Injury (Total),98250324.947844
2010,201012,Ultimate Costs,Third Party Injury (Total),103914002.614712
2011,201103,Ultimate Costs,Third Party Injury (Total),89541311.610037
2011,201106,Ultimate Costs,Third Party Injury (Total),111482613.751803
2011,201109,Ultimate Costs,Third Party Injury (Total),106934406.755951
2011,201112,Ultimate Costs,Third Party Injury (Total),145187775.241184
2012,201203,Ultimate Costs,Third Party Injury (Total),120550762.38803901
2012,201206,Ultimate Costs,Third Party Injury (Total),113941388.873811
2012,201209,Ultimate Costs,Third Party Injury (Total),119760075.33972299
2012,201212,Ultimate Costs,Third Party Injury (Total),127908153.13371
2013,201303,Ultimate Costs,Third Party Injury (Total),120942481.812617
2013,201306,Ultimate Costs,Third Party Injury (Total),122621722.393112
2013,201309,Ultimate Costs,Third Party Injury (Total),115086177.38927999
2013,201312,Ultimate Costs,Third Party Injury (Total),129176838.394749
2014,201403,Ultimate Costs,Third Party Injury (Total),120903980.196729
2014,201406,Ultimate Costs,Third Party Injury (Total),132241778.117837
2014,201409,Ultimate Costs,Third Party Injury (Total),125947388.03846599
2014,201412,Ultimate Costs,Third Party Injury (Total),158044942.958376
2015,201503,Ultimate Costs,Third Party Injury (Total),137158620.48191
2015,201506,Ultimate Costs,Third Party Injury (Total),120865309.671708
2015,201509,Ultimate Costs,Third Party Injury (Total),113457437.061361
2015,201512,Ultimate Costs,Third Party Injury (Total),131452544.02492
2016,201603,Ultimate Costs,Third Party Injury (Total),126483819.68255399
2016,201606,Ultimate Costs,Third Party Injury (Total),122456473.817358
2016,201609,Ultimate Costs,Third Party Injury (Total),115006492.648843
2016,201612,Ultimate Costs,Third Party Injury (Total),135061421.634907
2017,201703,Ultimate Costs,Third Party Injury (Total),115397083.979738
2017,201706,Ultimate Costs,Third Party Injury (Total),122330906.42920199
2017,201709,Ultimate Costs,Third Party Injury (Total),118519644.659508
2017,201712,Ultimate Costs,Third Party Injury (Total),139095681.518567
2018,201803,Ultimate Costs,Third Party Injury (Total),108545104.19323601
2018,201806,Ultimate Costs,Third Party Injury (Total),121769768.347857
2018,201809,Ultimate Costs,Third Party Injury (Total),108049103.983211
2018,201812,Ultimate Costs,Third Party Injury (Total),127018830.847218
2019,201903,Ultimate Costs,Third Party Injury (Total),109758764.366104
2019,201906,Ultimate Costs,Third Party Injury (Total),98433047.277212
2019,201909,Ultimate Costs,Third Party Injury (Total),102262617.522985
2019,201912,Ultimate Costs,Third Party Injury (Total),118058205.941446
2020,202003,Ultimate Costs,Third Party Injury (Total),89967732.554282
2020,202006,Ultimate Costs,Third Party Injury (Total),68397296.177931
2020,202009,Ultimate Costs,Third Party Injury (Total),86142579.039839
2020,202012,Ultimate Costs,Third Party Injury (Total),101740994.830274
2021,202103,Ultimate Costs,Third Party Injury (Total),56305737.495756
2021,202106,Ultimate Costs,Third Party Injury (Total),74796266.75210801
2021,202109,Ultimate Costs,Third Party Injury (Total),110319427.605216
2021,202112,Ultimate Costs,Third Party Injury (Total),135852303.27081499
2022,202203,Ultimate Costs,Third Party Injury (Total),108327227.556617
2022,202206,Ultimate Costs,Third Party Injury (Total),123716633.541948
2022,202209,Ultimate Costs,Third Party Injury (Total),94673115.112848
2022,202212,Ultimate Costs,Third Party Injury (Total),121585490.644785
2023,202303,Ultimate Costs,Third Party Injury (Total),117234754.601942
2023,202306,Ultimate Costs,Third Party Injury (Total),105072292.964944
2023,202309,Ultimate Costs,Third Party Injury (Total),111760890.64341
2023,202312,Ultimate Costs,Third Party Injury (Total),105438843.707776
2024,202403,Ultimate Costs,Third Party Injury (Total),127943430.644634
2024,202406,Ultimate Costs,Third Party Injury (Total),111262754.732467
2024,202409,Ultimate Costs,Third Party Injury (Total),110928803.878648
2024,202412,Ultimate Costs,Third Party Injury (Total),113423711.03020701
2010,201003,Ultimate Costs,Windscreen,6062289.54
2010,201006,Ultimate Costs,Windscreen,5687376.97
2010,201009,Ultimate Costs,Windscreen,4983650.5200000005
2010,201012,Ultimate Costs,Windscreen,5305874.88
2011,201103,Ultimate Costs,Windscreen,5574229.32
2011,201106,Ultimate Costs,Windscreen,4765108.83
2011,201109,Ultimate Costs,Windscreen,4554805.65
2011,201112,Ultimate Costs,Windscreen,4339480.3
2012,201203,Ultimate Costs,Windscreen,4233698.82
2012,201206,Ultimate Costs,Windscreen,4307038.16
2012,201209,Ultimate Costs,Windscreen,4090750.13
2012,201212,Ultimate Costs,Windscreen,3826817.22
2013,201303,Ultimate Costs,Windscreen,4243792.84
2013,201306,Ultimate Costs,Windscreen,4401734.24
2013,201309,Ultimate Costs,Windscreen,4140364.44
2013,201312,Ultimate Costs,Windscreen,3605530.6
2014,201403,Ultimate Costs,Windscreen,4128895.66
2014,201406,Ultimate Costs,Windscreen,4110793.08
2014,201409,Ultimate Costs,Windscreen,3757682.24
2014,201412,Ultimate Costs,Windscreen,3441720.74
2015,201503,Ultimate Costs,Windscreen,3892396.35
2015,201506,Ultimate Costs,Windscreen,3973330.19
2015,201509,Ultimate Costs,Windscreen,3417193.267
2015,201512,Ultimate Costs,Windscreen,3044378.13711
2016,201603,Ultimate Costs,Windscreen,3778677.09271
2016,201606,Ultimate Costs,Windscreen,3957248.3438
2016,201609,Ultimate Costs,Windscreen,3395901.72852
2016,201612,Ultimate Costs,Windscreen,2979779.2966899998
2017,201703,Ultimate Costs,Windscreen,3281140.82122
2017,201706,Ultimate Costs,Windscreen,3644320.14109
2017,201709,Ultimate Costs,Windscreen,3316627.4431
2017,201712,Ultimate Costs,Windscreen,3081371.87519
2018,201803,Ultimate Costs,Windscreen,3941243.2278
2018,201806,Ultimate Costs,Windscreen,4570485.05737
2018,201809,Ultimate Costs,Windscreen,3668920.61152
2018,201812,Ultimate Costs,Windscreen,3068959.82239
2019,201903,Ultimate Costs,Windscreen,3467251.83946
2019,201906,Ultimate Costs,Windscreen,3794366.24008
2019,201909,Ultimate Costs,Windscreen,3536289.86046
2019,201912,Ultimate Costs,Windscreen,3237779.03869
2020,202003,Ultimate Costs,Windscreen,3463382.40413
2020,202006,Ultimate Costs,Windscreen,2903717.01017
2020,202009,Ultimate Costs,Windscreen,4311497.44055
2020,202012,Ultimate Costs,Windscreen,3385380.2711199997
2021,202103,Ultimate Costs,Windscreen,3744309.54741
2021,202106,Ultimate Costs,Windscreen,4926260.7141700005
2021,202109,Ultimate Costs,Windscreen,4975839.34722
2021,202112,Ultimate Costs,Windscreen,3842398.83318
2022,202203,Ultimate Costs,Windscreen,4549722.24165
2022,202206,Ultimate Costs,Windscreen,4961702.229103
2022,202209,Ultimate Costs,Windscreen,4881214.869524
2022,202212,Ultimate Costs,Windscreen,4316322.6523400005
2023,202303,Ultimate Costs,Windscreen,5134353.554487
2023,202306,Ultimate Costs,Windscreen,6323443.860649
2023,202309,Ultimate Costs,Windscreen,5253708.501137
2023,202312,Ultimate Costs,Windscreen,4528485.952982
2024,202403,Ultimate Costs,Windscreen,5938511.569225
2024,202406,Ultimate Costs,Windscreen,6892872.82938
2024,202409,Ultimate Costs,Windscreen,5721005.459232
2024,202412,Ultimate Costs,Windscreen,3989455.730035
2010,201003,Ultimate Numbers (incl. nils),Accidental Damage,20545
2010,201006,Ultimate Numbers (incl. nils),Accidental Damage,17262
2010,201009,Ultimate Numbers (incl. nils),Accidental Damage,17203
2010,201012,Ultimate Numbers (incl. nils),Accidental Damage,22335
2011,201103,Ultimate Numbers (incl. nils),Accidental Damage,16171
2011,201106,Ultimate Numbers (incl. nils),Accidental Damage,15298
2011,201109,Ultimate Numbers (incl. nils),Accidental Damage,15487
2011,201112,Ultimate Numbers (incl. nils),Accidental Damage,19781
2012,201203,Ultimate Numbers (incl. nils),Accidental Damage,15593
2012,201206,Ultimate Numbers (incl. nils),Accidental Damage,16660
2012,201209,Ultimate Numbers (incl. nils),Accidental Damage,16215
2012,201212,Ultimate Numbers (incl. nils),Accidental Damage,18212
2013,201303,Ultimate Numbers (incl. nils),Accidental Damage,16867
2013,201306,Ultimate Numbers (incl. nils),Accidental Damage,16231
2013,201309,Ultimate Numbers (incl. nils),Accidental Damage,16447
2013,201312,Ultimate Numbers (incl. nils),Accidental Damage,19039
2014,201403,Ultimate Numbers (incl. nils),Accidental Damage,18894
2014,201406,Ultimate Numbers (incl. nils),Accidental Damage,16261
2014,201409,Ultimate Numbers (incl. nils),Accidental Damage,16253
2014,201412,Ultimate Numbers (incl. nils),Accidental Damage,19197
2015,201503,Ultimate Numbers (incl. nils),Accidental Damage,17374
2015,201506,Ultimate Numbers (incl. nils),Accidental Damage,14982
